Genres,ReleaseDate,UserId,PlaytimeForever
Adventure,2002,76561198057685527,13305
Adventure,2002,DownSyndromeKid,73829
Adventure,2003,Cow666,69780
Adventure,2004,76561197970668319,3242
Adventure,2005,76561198096469253,4780
Adventure,2006,76561198065037494,4703
Adventure,2007,ahayner,5564
Adventure,2008,76561198039742603,39846
Adventure,2009,76561198017586284,32954
Adventure,2010,76561198065322400,70344
Adventure,2011,thiefofrosesinlalaland,739194
Adventure,2012,Evilutional,4447065
Adventure,2013,76561197978756659,897573
Adventure,2014,qqmp,1026156
Adventure,2015,76561198046914681,542218
Adventure,2015,76561198096678177,124301
Adventure,2015,idonothack,1333928
Adventure,2016,76561198013600577,66610
Adventure,2016,76561198070892581,94971
Adventure,2016,76561198071116663,540888
Adventure,2017,76561198074736789,1060445
Adventure,2017,76561198096678177,117788
Adventure,2017,Kaj3n,6775
Adventure,2017,Steamified,7999
Adventure,2018,Cydran,21
Animation &amp; Modeling,2008,76561198069614338,5245
Animation &amp; Modeling,2012,76561198004448633,3620
Animation &amp; Modeling,2013,76561198059330972,196281
Animation &amp; Modeling,2013,Forbieden,26035
Animation &amp; Modeling,2014,Dark_samaCH_PONY,5648
Animation &amp; Modeling,2014,GlzmoGamer,8947
Animation &amp; Modeling,2014,thugnificent,4228
Animation &amp; Modeling,2015,76561198084906493,228
Animation &amp; Modeling,2015,ScottyG555,504942
Animation &amp; Modeling,2015,hterrormc,8912
Animation &amp; Modeling,2016,76561197994830976,674
Animation &amp; Modeling,2016,76561198146189832,121
Animation &amp; Modeling,2016,Colidos,7521
Animation &amp; Modeling,2016,Sathereal,576
Animation &amp; Modeling,2016,ryanalcock,80034
Audio Production,2007,chidvd,18090
Audio Production,2013,HappyRussian,33324
Audio Production,2014,Lickidactyl,329748
Audio Production,2015,xhapire,1041
Audio Production,2016,FW2912,186
Casual,1983,76561197966936422,993
Casual,1984,tankmannz,354
Casual,1991,76561198056997935,2283
Casual,1992,karlmarx420,1264
Casual,1993,shinomegami,17644
Casual,1994,Steamified,3522
Casual,1994,shinomegami,35041
Casual,1995,TomThehTmoT,1358
Casual,1996,NGPriest,15238
Casual,1996,TotesVidya,98
Casual,1997,76561198058713642,3095
Casual,1998,76561198048701431,3070
Casual,1999,76561198062915082,27381
Casual,1999,76561198068210776,848
Casual,2000,shinomegami,93436
Casual,2001,76561198068210776,1460
Casual,2002,76561198057685527,13305
Casual,2003,76561198066505187,623
Casual,2004,76561197970668319,3242
Casual,2004,REBAS_AS_F-T,6985
Casual,2005,76561198024557182,8522
Casual,2006,juleshb,11936
Casual,2007,76561198048927794,126813
Casual,2008,DownSyndromeKid,73811
Casual,2009,76561197995333910,27428
Casual,2010,Gravalanch,154446
Casual,2010,Lexxbomb,197
Casual,2010,rubber64,68745
Casual,2011,tsunamitad,1800204
Casual,2012,Evilutional,4447065
Casual,2013,DoctorSpaceman,242157
Casual,2014,76561198029584773,213969
Casual,2014,qqmp,1026156
Casual,2015,benjamingarrison,1028655
Casual,2015,idonothack,1333928
Casual,2016,76561198058230663,46274
Casual,2016,76561198070892581,94971
Casual,2016,76561198071116663,540888
Casual,2017,76561198096678177,117788
Casual,2017,Steamified,7999
Design &amp; Illustration,2007,chidvd,18090
Design &amp; Illustration,2008,76561198069614338,5245
Design &amp; Illustration,2012,76561198035718256,205108
Design &amp; Illustration,2013,Forbieden,26035
Design &amp; Illustration,2014,Dark_samaCH_PONY,5648
Design &amp; Illustration,2014,GlzmoGamer,8947
Design &amp; Illustration,2014,Sky_Wolf,43770
Design &amp; Illustration,2014,thugnificent,4228
Design &amp; Illustration,2015,76561198084906493,228
Design &amp; Illustration,2015,ScottyG555,504942
Design &amp; Illustration,2015,Xyphien,71011
Design &amp; Illustration,2015,hterrormc,8912
Design &amp; Illustration,2016,76561197994830976,674
Design &amp; Illustration,2016,Colidos,7521
Design &amp; Illustration,2016,Sathereal,576
Design &amp; Illustration,2016,ryanalcock,80034
Design &amp; Illustration,2017,76561198045477018,19
Early Access,2012,belial2592,105914
Early Access,2013,76561197978756659,897573
Early Access,2014,76561198029584773,213969
Early Access,2014,mutatedwombat,271857
Early Access,2015,76561198096678177,124301
Early Access,2016,76561198013600577,66610
Early Access,2017,Kaj3n,6775
Early Access,2018,76561197994830976,1272
Early Access,2018,Cydran,21
Early Access,2018,thugnificent,1026
Education,2008,76561198069614338,5245
Education,2010,Lexxbomb,197
Education,2010,phrostb,0
Education,2013,76561198059330972,196281
Education,2013,Forbieden,26035
Education,2014,thugnificent,4228
Education,2015,76561198084906493,228
Education,2015,hterrormc,8912
Education,2016,76561197994830976,674
Education,2016,76561198146189832,121
Education,2016,thugnificent,389
Education,2017,76561198045638432,7508
Free to Play,1996,de_reyals,75
Free to Play,1999,76561198062915082,27381
Free to Play,2001,DownSyndromeKid,5784
Free to Play,2003,shinomegami,2654410
Free to Play,2005,merodoc,64158
Free to Play,2006,76561198092703325,47445
Free to Play,2007,76561198048927794,126813
Free to Play,2008,76561198054983134,29236
Free to Play,2009,Seaeco,88724
Free to Play,2009,Sekekai,667641
Free to Play,2010,76561198030902576,430270
Free to Play,2011,poedgirl,1225476
Free to Play,2011,thiefofrosesinlalaland,739194
Free to Play,2012,76561198063368177,439912
Free to Play,2012,76561198065902279,126519
Free to Play,2012,Bballguy111,204182
Free to Play,2012,Evilutional,4447065
Free to Play,2012,belial2592,105914
Free to Play,2013,76561198027406146,726294
Free to Play,2013,DoctorSpaceman,242157
Free to Play,2013,laumir,813434
Free to Play,2014,76561198029584773,213969
Free to Play,2014,qqmp,1026156
Free to Play,2015,76561198046914681,542218
Free to Play,2015,benjamingarrison,1028655
Free to Play,2015,idonothack,1333928
Free to Play,2016,76561198070892581,94971
Free to Play,2016,76561198146831507,205240
Free to Play,2017,76561198070643441,7411
Free to Play,2017,76561198075582003,293728
Free to Play,2017,76561198096678177,117788
Free to Play,2017,smegmyfoodle,92885
Indie,1988,comquack,30712
Indie,1995,TomThehTmoT,1358
Indie,1996,TotesVidya,98
Indie,1997,76561198036455045,1182
Indie,1997,cywabcoylttdtabistsiaeyclalumb,2326
Indie,1998,76561198010579748,1274
Indie,1998,76561198048701431,3070
Indie,1999,76561198062915082,27381
Indie,2000,76561198061559559,3118
Indie,2001,DownSyndromeKid,5784
Indie,2002,76561198060025649,4736
Indie,2003,76561198066505187,623
Indie,2003,Cow666,69780
Indie,2004,EnderLord,2190
Indie,2005,merodoc,64158
Indie,2006,76561198092703325,47445
Indie,2006,wolop,1285546
Indie,2007,76561198138586856,136780
Indie,2008,76561197999617946,101797
Indie,2008,DownSyndromeKid,73811
Indie,2008,dubzie,10873
Indie,2009,Seaeco,88724
Indie,2009,shinomegami,61840
Indie,2010,DownSyndromeKid,74374
Indie,2011,76561198021534556,128428
Indie,2011,thiefofrosesinlalaland,739194
Indie,2011,tsunamitad,1800204
Indie,2012,76561198065902279,126519
Indie,2012,Bballguy111,204182
Indie,2012,belial2592,105914
Indie,2012,stopgovtcorruption,134243
Indie,2013,76561197978756659,897573
Indie,2014,1silentsniper1,105664
Indie,2014,76561198029584773,213969
Indie,2015,76561198096678177,124301
Indie,2015,benjamingarrison,1028655
Indie,2015,express157,238542
Indie,2015,idonothack,1333928
Indie,2016,76561198058230663,46274
Indie,2016,76561198070892581,94971
Indie,2016,76561198071116663,540888
Indie,2016,76561198146831507,205240
Indie,2016,johnvu3,149299
Indie,2017,76561198074736789,1060445
Indie,2017,76561198075582003,293728
Indie,2017,76561198096678177,117788
Indie,2017,Kaj3n,6775
Indie,2017,Steamified,7999
Indie,2017,smegmyfoodle,92885
Indie,2018,Cydran,21
Indie,2018,thugnificent,1026
Massively Multiplayer,2003,shinomegami,2654410
Massively Multiplayer,2007,76561198048927794,126813
Massively Multiplayer,2008,76561198054983134,29236
Massively Multiplayer,2009,Sekekai,667641
Massively Multiplayer,2010,76561198030902576,430270
Massively Multiplayer,2011,poedgirl,1225476
Massively Multiplayer,2011,thiefofrosesinlalaland,739194
Massively Multiplayer,2012,76561198063368177,439912
Massively Multiplayer,2012,Bballguy111,204182
Massively Multiplayer,2012,Evilutional,4447065
Massively Multiplayer,2013,76561197978756659,897573
Massively Multiplayer,2013,76561198027406146,726294
Massively Multiplayer,2014,KingXRay,677144
Massively Multiplayer,2014,mutatedwombat,271857
Massively Multiplayer,2014,qqmp,1026156
Massively Multiplayer,2015,76561198046914681,542218
Massively Multiplayer,2016,76561198013600577,66610
Massively Multiplayer,2016,76561198070892581,94971
Massively Multiplayer,2016,76561198146831507,205240
Massively Multiplayer,2017,76561198070643441,7411
Massively Multiplayer,2017,76561198074736789,1060445
Massively Multiplayer,2017,76561198075582003,293728
Photo Editing,2006,MarucTp,320
Photo Editing,2007,chidvd,18090
Photo Editing,2012,robinwalker,1554
Photo Editing,2014,Sky_Wolf,43770
Photo Editing,2015,76561198084906493,228
Photo Editing,2016,Colidos,7521
RPG,1988,comquack,30712
RPG,1991,phrostb,0
RPG,1992,76561198007165405,860
RPG,1994,archy18,957
RPG,1994,casban,972
RPG,1996,EmperorBadger,5710
RPG,1997,76561198042170355,9965
RPG,1998,926457123864182681994,12534
RPG,1999,muskieratboi,5349
RPG,2000,76561197990613796,2317
RPG,2001,76561197992892048,6837
RPG,2001,aaaarrrghhhh,11101
RPG,2002,76561198034179707,27561
RPG,2003,shinomegami,2654410
RPG,2004,vonravend,7170
RPG,2005,76561198096469253,4780
RPG,2005,tarful1000,25637
RPG,2006,stopgovtcorruption,469016
RPG,2007,76561198035202077,69333
RPG,2007,shinomegami,66972
RPG,2008,76561198052928427,40292
RPG,2008,76561198054983134,29236
RPG,2009,Sekekai,667641
RPG,2010,756755557153145,625094
RPG,2010,76561198030902576,430270
RPG,2011,76561198021534556,128428
RPG,2011,thiefofrosesinlalaland,739194
RPG,2012,Bballguy111,204182
RPG,2012,Evilutional,4447065
RPG,2013,76561197978756659,897573
RPG,2013,76561198027406146,726294
RPG,2013,DoctorSpaceman,242157
RPG,2014,KingXRay,677144
RPG,2014,mutatedwombat,271857
RPG,2014,qqmp,1026156
RPG,2015,76561198046914681,542218
RPG,2015,idonothack,1333928
RPG,2016,76561198070892581,94971
RPG,2016,76561198071116663,540888
RPG,2017,76561198074736789,1060445
RPG,2017,76561198075582003,293728
RPG,2017,smegmyfoodle,92885
RPG,2018,76561197994830976,1272
RPG,2018,Cydran,21
Racing,1994,de_reyals,81
Racing,1995,Steamified,14670
Racing,1996,jamessnee1,401
Racing,1997,76561198036455045,1182
Racing,1998,76561198010579748,1274
Racing,1999,76561197992474051,26
Racing,2000,76561198061559559,3118
Racing,2003,76561198071475367,4727
Racing,2004,76561198091638558,524
Racing,2005,76561198087466439,61299
Racing,2006,DownSyndromeKid,73946
Racing,2007,DownSyndromeKid,73914
Racing,2008,DownSyndromeKid,73890
Racing,2008,dubzie,10873
Racing,2009,76561198085272863,21054
Racing,2010,76561198054281670,31494
Racing,2011,DownSyndromeKid,73847
Racing,2011,Write-0ff,48888
Racing,2012,stopgovtcorruption,134243
Racing,2013,76561197995725436,158372
Racing,2014,76561197995725436,71134
Racing,2015,express157,238542
Racing,2016,76561198058230663,46274
Racing,2017,76561198070643441,7411
Simulation,1987,76561198033986892,78
Simulation,1988,76561198052912739,1
Simulation,1989,76561198014848587,7760
Simulation,1990,Rhysy2706,568
Simulation,1991,degen97,65
Simulation,1991,phrostb,0
Simulation,1992,76561198004638606,11
Simulation,1993,carmeloaiello84,63
Simulation,1994,Prankzter,1423
Simulation,1995,76561197967445425,606
Simulation,1996,76561198058230663,345
Simulation,1997,76561197972166311,2632
Simulation,1998,Lickidactyl,4965
Simulation,1999,beeza90,6328
Simulation,2000,Eviloverlord1987BC,5849
Simulation,2001,76561198059611709,9818
Simulation,2002,76561198074185082,16332
Simulation,2003,76561198066505187,623
Simulation,2003,NaziIsMyName,48621
Simulation,2004,EnderLord,2190
Simulation,2004,PraetorianCohort,15345
Simulation,2005,76561198024557182,8522
Simulation,2005,76561198087466439,61299
Simulation,2006,wolop,1285546
Simulation,2007,76561198006225175,910
Simulation,2007,76561198138586856,136780
Simulation,2007,shinomegami,66972
Simulation,2008,blackopalandlevi,75974
Simulation,2009,76561198062021222,159558
Simulation,2010,DownSyndromeKid,74374
Simulation,2010,NedSilver,175066
Simulation,2011,tsunamitad,1800204
Simulation,2012,Evilutional,4447065
Simulation,2013,76561198038513068,617224
Simulation,2014,1silentsniper1,105664
Simulation,2014,76561198092362090,279672
Simulation,2015,idonothack,1333928
Simulation,2016,76561197979956729,74632
Simulation,2016,johnvu3,174626
Simulation,2017,76561198075582003,293728
Simulation,2017,Steamified,7999
Simulation,2018,thugnificent,1026
Software Training,2008,76561198069614338,5245
Software Training,2010,phrostb,0
Software Training,2013,HappyRussian,33324
Software Training,2014,Lickidactyl,329748
Software Training,2014,thugnificent,4228
Software Training,2015,76561198084906493,228
Software Training,2015,hterrormc,8912
Software Training,2016,thugnificent,389
Software Training,2017,76561198045638432,7508
Sports,1995,Steamified,14670
Sports,2005,76561198087466439,61299
Sports,2006,marshythemarshmallowman,3872
Sports,2007,76561198006225175,910
Sports,2008,dubzie,10873
Sports,2009,shinomegami,61840
Sports,2010,rubber64,68745
Sports,2011,Write-0ff,48888
Sports,2012,76561198065902279,126519
Sports,2013,76561197995725436,158372
Sports,2014,1silentsniper1,105664
Sports,2014,76561197995725436,71134
Sports,2015,express157,238542
Sports,2016,76561197979956729,74632
Sports,2017,Steamified,7999
Strategy,1988,comquack,30712
Strategy,1990,burne6338,27
Strategy,1991,phrostb,0
Strategy,1993,shinomegami,22001
Strategy,1994,archy18,957
Strategy,1995,76561197967445425,606
Strategy,1995,shinomegami,20485
Strategy,1996,EmperorBadger,5710
Strategy,1997,76561198001078133,26539
Strategy,1998,76561197986898950,11553
Strategy,1999,beeza90,6328
Strategy,1999,yokta,20259
Strategy,2000,76561197984733626,5941
Strategy,2001,76561198059611709,9818
Strategy,2001,uvbunny,87956
Strategy,2002,76561198074185082,16332
Strategy,2002,DownSyndromeKid,73826
Strategy,2003,76561198066505187,623
Strategy,2003,NaziIsMyName,48621
Strategy,2003,shinomegami,2654410
Strategy,2004,EnderLord,2190
Strategy,2004,Gabo9,68128
Strategy,2004,PraetorianCohort,15345
Strategy,2004,vonravend,7170
Strategy,2005,76561197960324641,165271
Strategy,2006,76561198092703325,47445
Strategy,2006,tankedout,214202
Strategy,2007,shinomegami,66972
Strategy,2008,76561197999617946,101797
Strategy,2008,76561198049210303,137476
Strategy,2009,76561198016594121,103532
Strategy,2010,Gravalanch,154446
Strategy,2010,NedSilver,175066
Strategy,2010,streetjimmy,425437
Strategy,2011,76561198021534556,128428
Strategy,2012,76561198063368177,439912
Strategy,2012,76561198065902279,126519
Strategy,2012,belial2592,105914
Strategy,2013,76561198038513068,617224
Strategy,2014,76561198092362090,279672
Strategy,2015,idonothack,1333928
Strategy,2016,76561198070892581,94971
Strategy,2017,smegmyfoodle,92885
Utilities,2006,MarucTp,320
Utilities,2006,sbeghen,31938
Utilities,2007,chidvd,18090
Utilities,2008,76561198069614338,5245
Utilities,2012,76561198075233562,1443
Utilities,2012,thefathacker,1856
Utilities,2013,76561198059330972,196281
Utilities,2013,Forbieden,26035
Utilities,2013,HappyRussian,33324
Utilities,2013,Not_So_Drunk,76653
Utilities,2013,amarethepegasus,76564
Utilities,2014,76561198073642113,207651
Utilities,2014,GlzmoGamer,8947
Utilities,2014,Lickidactyl,329748
Utilities,2014,thugnificent,4228
Utilities,2015,76561198084906493,228
Utilities,2015,BewareWeLive,83352
Utilities,2015,hterrormc,8912
Utilities,2015,xhapire,1041
Utilities,2016,76561198146189832,121
Utilities,2016,Colidos,7521
Utilities,2016,toliman,14391
Utilities,2017,76561198045477018,19
Utilities,2017,76561198045638432,7508
Video Production,2006,MarucTp,320
Video Production,2007,chidvd,18090
Video Production,2012,76561198075233562,1443
Video Production,2013,HappyRussian,33324
Video Production,2013,amarethepegasus,76564
Video Production,2014,Lickidactyl,329748
Video Production,2015,76561198084906493,228
Video Production,2015,ScottyG555,504942
Video Production,2016,Sathereal,576
Web Publishing,2005,76561198055339371,11711
Web Publishing,2007,chidvd,18090
Web Publishing,2012,76561198035718256,205108
Web Publishing,2013,76561198059330972,196281
Web Publishing,2013,Forbieden,26035
Web Publishing,2014,Dark_samaCH_PONY,5648
Web Publishing,2014,thugnificent,4228
Web Publishing,2015,Xyphien,71011
Web Publishing,2016,76561198146189832,121
Web Publishing,2017,76561198045638432,7508
