ItemName,total_sentiment_analysis,YearPosted
Agarest: Generations of War Zero,1,2015
Age of Chivalry,9,2014
Age of Conquest IV,1,2016
Age of Empires II HD,88,2015
Age of Empires II HD: The African Kingdoms,1,2015
Age of Empires® III: Complete Collection,35,2014
Age of Mythology EX: Tale of the Dragon,1,2016
Age of Wonders,1,2011
Air Brawl,5,2015
AirMech Strike,68,2014
AirMech® Soundtrack,1,2016
Airport Madness: World Edition,1,2016
Airport Simulator 2014,2,2014
Airships: Conquer the Skies,3,2015
Akaneiro: Demon Hunters,1,2013
Alan Wake,25,2012
Alan Wake's American Nightmare,4,2014
Albedo: Eyes from Outer Space,1,2015
Albino Lullaby: Episode 1,1,2015
Alien Breed 2: Assault,1,2014
Alien Breed: Impact,1,2013
Alien Rage - Unlimited,1,2014
Alien Shooter,1,2016
Alien Swarm,87,2010
Alien: Isolation,48,2014
Aliens versus Predator Classic 2000,6,2016
Aliens vs. Predator™,23,2015
All Is Dust,1,2015
All Zombies Must Die!: Scorepocalypse,1,2015
Alpha Prime,1,2015
Alpha Protocol™,5,2015
Alphadia Genesis,1,2015
Altitude,7,2014
Always Sometimes Monsters,7,2014
Amazing Frog?,2,2015
Amazing World™,7,2015
America's Army: Proving Grounds,17,2013
American Truck Simulator,16,2016
American Truck Simulator - Steering Creations Pack,1,2016
Amnesia: A Machine for Pigs,6,2016
Amnesia: The Dark Descent,43,2010
Amnesia™: Memories,1,2015
Among Ripples,5,2015
Among the Sleep - Enhanced Edition,9,2016
Ampersand,2,2015
Ampu-Tea,2,2015
Amygdala,1,2015
Anachronox,1,2016
Analogue: A Hate Story,5,2014
Anarchy Arcade,12,2015
And So It Was,1,2016
And Yet It Moves,1,2015
Angels Fall First,1,2016
Angels That Kill Demo,1,2015
Angry Birds Space,1,2014
Angry Video Game Nerd Adventures,7,2014
Angry Video Game Nerd II: ASSimilation,1,2016
Angry Video Game Nerd: The Movie,1,2015
Anna - Extended Edition,2,2014
Anna's Quest,1,2015
Anno 2205™,1,2015
Anomaly 2,1,2014
Anomaly: Warzone Earth,1,2011
Another World – 20th Anniversary Edition,1,2014
Antenna,3,2016
Antichamber,48,2016
Aperture Tag: The Paint Gun Testing Initiative,8,2015
Apocalypse Hotel - The Post-Apocalyptic Hotel Simulator!,1,2016
Apotheon,4,2016
Arcadecraft,1,2015
ArcaniA,1,2010
ArcheAge,11,2015
ArcheBlade™,30,2015
Arena Wars 2,2,2014
Arma 2,5,2013
Arma 2: Operation Arrowhead,85,2013
Arma 3,246,2014
Arma 3 Apex,3,2016
Arma 3 Marksmen,3,2015
Arma 3 Zeus,1,2015
Arma II: DayZ Mod,21,2013
Armed with Wings: Rearmed,1,2015
Armello,6,2016
Armello - Usurpers Hero Pack,1,2016
Armikrog,1,2016
Assassin's Creed 2 Deluxe Edition,31,2016
Assassin's Creed Freedom Cry,3,2014
Assassin's Creed® Syndicate,2,2015
Assassin's Creed® Unity,22,2014
Assassin's Creed™: Director's Cut Edition,4,2015
Assassin’s Creed® Brotherhood,8,2014
Assassin’s Creed® Chronicles: China,2,2015
Assassin’s Creed® III,22,2014
Assassin’s Creed® IV Black Flag™,46,2014
Assassin’s Creed® Liberation HD,2,2014
Assassin’s Creed® Rogue,6,2015
Assault Android Cactus,3,2015
Assetto Corsa,16,2014
Astebreed: Definitive Edition,3,2014
Asteria,1,2015
Atlas Reactor,1,2016
Atom Universe,1,2016
Atom Zombie Smasher,4,2011
Atulos Online,2,2016
AudioSurf,39,2013
Audioshield,4,2016
Audiosurf 2,15,2013
Auditorium,1,2014
Aura Kingdom,22,2014
Automation - The Car Company Tycoon Game,3,2015
Avernum 2: Crystal Souls,1,2016
Aviary Attorney,2,2016
Avoid - Sensory Overload,1,2016
Awesomenauts - Rockstar Announcer,1,2015
Awesomenauts - Wraithlord Scoop Announcer,1,2015
Awesomenauts - the 2D moba,139,2013
Axiom Verge,1,2015
Axis Game Factory's AGFPRO - Drone Kombat FPS Multiplayer,1,2015
Axis Game Factory's AGFPRO - Voxel Sculpt DLC,1,2015
Axis Game Factory's AGFPRO BattleMat Multi-Player DLC,1,2015
Axis Game Factory's AGFPRO Fantasy Side-Scroller Player,1,2015
Axis Game Factory's AGFPRO Zombie FPS Player DLC,1,2015
Axis Game Factory's AGFPRO v3,1,2015
BEARZERKERS,1,2015
BEEP,3,2016
BIOS,1,2015
BIT.TRIP BEAT,1,2013
BIT.TRIP CORE,1,2013
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,14,2013
BIT.TRIP RUNNER,15,2015
BLADESTORM: Nightmare,1,2016
BLOCKADE 3D,31,2014
BRINK,5,2011
Back to Dinosaur Island,1,2016
Back to the Future: The Game,7,2014
Bad Rats: the Rats' Revenge,89,2016
Bad Rats: the Rats' Revenge Demo,1,2016
Baldur's Gate: Enhanced Edition,3,2015
Ballistic Overkill,2,2016
Ballpoint Universe - Infinite,2,2013
Banished,58,2016
Barbara-ian,1,2016
Bardbarian,2,2016
Basement,2,2015
Bastion,76,2011
Batman - The Telltale Series,8,2016
Batman: Arkham Asylum Game of the Year Edition,34,2013
Batman: Arkham City - Game of the Year Edition,79,2014
Batman™: Arkham Knight,45,2016
Batman™: Arkham Origins,68,2013
Battle Brothers,1,2016
Battle Chess: Game of Kings™,1,2014
Battle Forever,1,2016
Battle Islands,8,2014
Battle for Blood - Epic battles within 30 seconds!,1,2015
Battle of Empires : 1914-1918,2,2015
Battle of Empires : 1914-1918 -  British Empire,1,2015
Battle of Empires : 1914-1918 - Russian Empire,1,2015
BattleBlock Theater®,147,2016
BattleStick,1,2016
Battleborn,9,2016
Battlefield: Bad Company™ 2,40,2015
Battlefleet Gothic: Armada,1,2016
Battlepaths,1,2014
Battlepillars Gold Edition,2,2014
Battlestations Pacific,2,2014
Battlevoid: Harbinger,1,2016
BeamNG.drive,13,2015
Beat Hazard,21,2013
Beatbuddy: Tale of the Guardians,1,2014
Before the Echo,2,2011
Bejeweled® 3,2,2014
Ben and Ed,1,2016
Besiege,70,2015
Betrayer,1,2013
Better Late Than DEAD,2,2015
Beyond Good and Evil™,2,2014
Beyond Gravity,1,2015
Beyond Sol,1,2016
Bierzerkers,1,2016
Big Fish Legend,1,2015
Big Thinkers 1st Grade,1,2016
Binary Domain,3,2014
Binding of Isaac: Wrath of the Lamb,4,2013
BioShock Infinite,254,2015
BioShock Infinite - Season Pass,1,2015
BioShock Infinite: Burial at Sea - Episode One,1,2015
BioShock Infinite: Clash in the Clouds,1,2015
BioShock® 2,15,2015
BioShock™,68,2014
BioShock™ Remastered,5,2016
Bionic Dues,2,2015
Bird Assassin,1,2014
Bit Blaster XL,6,2016
Bitardia,1,2015
Bitweb,1,2015
Black Mesa,20,2015
Blackguards,1,2015
Blackguards: Untold Legends,1,2015
Blacklight: Retribution,116,2014
Blade Kitten,1,2014
Blade Symphony,12,2016
Blades of Time,5,2016
BlazBlue: Calamity Trigger,7,2014
Bleed,9,2014
Blender,9,2016
Blind Trust,1,2016
Block N Load,30,2015
Block N Load - 560 Platinum Bar Pack,1,2015
Block'hood,1,2016
Blockland,14,2014
Blocks That Matter,2,2011
Blockstorm,14,2015
Blood Bowl 2,2,2016
Blood Bowl: Chaos Edition,2,2014
Blood Bowl® Legendary Edition,1,2014
Blood and Bacon,10,2016
Blood: One Unit Whole Blood,1,2015
BloodLust Shadowhunter,1,2015
BloodRayne Betrayal,1,2015
Bloodline Champions,1,2015
Bloodsports.TV,1,2015
Bloody Good Time,4,2014
Bloody Trapland,10,2015
Bloons TD 5,10,2015
Bloons TD Battles,2,2016
Blue Estate The Game,1,2015
Blues and Bullets,1,2016
Bob Was Hungry,1,2016
Boid,1,2016
Bone: Out From Boneville,1,2014
Boo Bunny Plague,1,2014
Borderlands,44,2012
Borderlands 2,537,2014
Borderlands 2 - Psycho Pack,1,2016
Borderlands 2 Season Pass,1,2015
Borderlands 2: Assassin Supremacy Pack,1,2014
Borderlands 2: Creature Slaughterdome,1,2015
Borderlands 2: Headhunter 2: Wattle Gobbler,1,2014
Borderlands 2: Mechromancer Pack,1,2016
Borderlands 2: Mr. Torgue’s Campaign of Carnage,2,2016
Borderlands 2: Tiny Tina's Assault on Dragon Keep,2,2016
Borderlands: The Pre-Sequel,66,2016
Borderlands: The Zombie Island of Dr. Ned,1,2012
Borderless Gaming,2,2015
Borealis,1,2015
Boring Man - Online Tactical Stickman Combat,16,2015
Boring Man: Premium!,1,2015
BossConstructor,1,2015
Boston Lockdown Campaign Book pdf,1,2015
Botanicula,1,2014
Boundel: The Second Era,1,2016
Braid,6,2015
Brawlhalla,76,2015
Breach & Clear,4,2016
Breach & Clear: Deadline Rebirth (2016),1,2015
Breath of Death VII,1,2011
Brick-Force,3,2015
Bridge Constructor,3,2014
Bridge Project,1,2014
Brigador: Up-Armored Edition,2,2016
Broforce,78,2014
Broken Age,16,2016
Broken Sword 5 - the Serpent's Curse,1,2013
Broken Sword: Director's Cut,2,2014
Brothers - A Tale of Two Sons,38,2015
Brothers in Arms: Hell's Highway™,3,2012
Brutal Legend,21,2014
Bulb Boy,1,2016
Bully: Scholarship Edition,27,2015
Bunch of Heroes,1,2015
Bunker Punks,1,2016
Buried: An Interactive Story,1,2016
Burn Zombie Burn!,1,2011
Burning Man: Beyond Black Rock,1,2015
Burnout Paradise: The Ultimate Box,31,2013
Burstfire,1,2015
Bus Driver,2,2014
Bus Simulator 16,2,2016
Bus-Simulator 2012,1,2013
Buzz Aldrin's Space Program Manager,1,2016
CALENDULA,1,2016
CHKN,1,2016
CLANNAD,1,2015
CONSORTIUM,3,2016
CPUCores :: Maximize Your FPS,2,2016
CRYPTARK,1,2015
CS:GO Player Profiles,9,2015
CUPID - A free to play Visual Novel,1,2016
CaesarIA,3,2015
Call of Cthulhu®: Dark Corners of the Earth,1,2016
Call of Duty: Black Ops - Mac Edition,3,2015
Call of Duty: United Offensive,2,2013
Call of Duty: World at War,50,2014
Call of Duty®,3,2015
Call of Duty® 2,1,2014
Call of Duty® 4: Modern Warfare®,15,2013
Call of Duty®: Advanced Warfare - Gold Edition,43,2015
Call of Duty®: Advanced Warfare - Season Pass,1,2014
Call of Duty®: Black Ops,33,2014
Call of Duty®: Black Ops - Rezurrection Content Pack,2,2014
Call of Duty®: Black Ops II,97,2014
Call of Duty®: Black Ops II - Apocalypse,3,2015
Call of Duty®: Black Ops II - Aqua Personalization Pack,1,2015
Call of Duty®: Black Ops II - Kawaii Personalization Pack,1,2014
Call of Duty®: Black Ops II - Nuketown Zombies Map,1,2014
Call of Duty®: Black Ops III,89,2015
Call of Duty®: Black Ops III - Season Pass,1,2016
Call of Duty®: Ghosts,51,2013
Call of Duty®: Ghosts - Squad Pack - Resistance,1,2016
Call of Duty®: Modern Warfare® 2,85,2016
Call of Juarez® Gunslinger,38,2014
Call to Arms,5,2015
Canabalt,1,2015
Canyon Capers,2,2014
Capsized,1,2013
Card Hunter,8,2015
Cards and Castles,3,2016
Cargo Commander,1,2013
Cargo! The Quest for Gravity,3,2013
Carmageddon Max Pack,1,2016
Carpe Diem,22,2015
Carrier Command: Gaea Mission,1,2014
Cast of the Seven Godsends - Redux,1,2016
Castaway Paradise - Town Building Sim,1,2015
Caster,9,2015
Castle,1,2015
Castle Crashers - Blacksmith Pack,3,2015
Castle Crashers - Pink Knight Pack,2,2015
Castle Crashers®,169,2015
Castle In The Darkness,1,2015
Castle Story,7,2013
Castle of Illusion,1,2014
CastleStorm,1,2014
Castlevania: Lords of Shadow 2,3,2015
Castlevania: Lords of Shadow – Ultimate Edition,1,2013
Cat Goes Fishing,2,2015
Catacomb Kids,1,2015
Catlateral Damage,2,2016
Catzilla 4K - Advanced,1,2014
Cavern Kings,3,2014
Celestian Tales: Old North,1,2015
Chains,1,2013
Champions Online,3,2016
Champions of Regnum,6,2014
Chaos Reborn,4,2014
Chaos on Deponia,1,2014
Chariot,1,2014
Chaser,2,2015
Cherry Tree High Comedy Club,1,2014
Chicken Invaders 2,1,2016
Chicken Invaders 5,1,2015
Child of Light,9,2014
Children of the Nile: Enhanced Edition,1,2016
Chime,2,2010
Chivalry: Medieval Warfare,189,2015
Choice of Robots,4,2015
Chroma Squad,1,2015
Chronicle: RuneScape Legends,1,2016
Chronology,1,2015
ChuSingura46+1 S,5,2016
Chuck's Challenge 3D,1,2014
Cinders,1,2015
Circuits,1,2014
Cities XL Platinum,3,2014
Cities in Motion,1,2012
Cities in Motion 2,4,2014
Cities: Skylines,79,2015
City of Steam: Arkadia,4,2014
Civilization IV: Beyond the Sword,2,2013
Clandestine,1,2016
Clash of the Monsters,1,2016
Clicker Heroes,91,2016
Clickteam Fusion 2.5,4,2015
Cloning Clyde,1,2015
Closure,3,2013
Cloudberry Kingdom™,1,2014
Clown House (Palyaço Evi),1,2016
CoH 2 - Soviet Commander: Soviet Industry Tactics,1,2015
CoH 2 - US Forces Commander: Rifle Company,1,2015
Cobalt,3,2016
Codename CURE,18,2015
Cogs,2,2011
Colin McRae Rally,1,2015
Color Symphony,2,2014
Coma: Mortuary,2,2016
Comedy Quest,2,2015
Command & Conquer 3: Kane's Wrath,3,2016
Command & Conquer 3: Tiberium Wars,4,2014
Command & Conquer 4: Tiberian Twilight,1,2011
Command & Conquer: Red Alert 3,11,2015
Command & Conquer: Red Alert 3 - Uprising,2,2015
Command: Modern Air / Naval Operations WOTY,1,2016
Commander Cool 2,5,2015
Commander Keen,3,2013
Commando Jack,1,2015
Commandos 2: Men of Courage,1,2016
Commandos: Behind Enemy Lines,2,2015
Community College Hero: Trial by Fire,1,2015
Company of Heroes - Legacy Edition,23,2013
Company of Heroes 2,81,2014
Company of Heroes: Tales of Valor,2,2015
Conan the mighty pig,1,2016
Condemned: Criminal Origins,2,2016
Conflict Desert Storm™,1,2015
Contagion,40,2013
Continent of the Ninth Seal,1,2014
Continue?9876543210,1,2014
Contract,2,2016
Contradiction - Spot The Liar!,4,2016
Contraption Maker,3,2015
Contrast,8,2014
Controller Companion,3,2016
Convoy,2,2015
"Cook, Serve, Delicious!",11,2014
Copa Petrobras de Marcas,4,2015
Corporate Lifestyle Simulator,1,2014
Cortex Command,10,2015
Cosmic DJ,2,2014
Cosmic Rocket Defender,1,2015
Cosmo's Cosmic Adventure,1,2015
Cosmochoria,2,2014
Cossacks: Back to War,1,2013
Costume Quest,3,2016
Costume Quest 2,1,2016
Counter-Strike,55,2015
Counter-Strike Nexon: Zombies,28,2016
Counter-Strike: Condition Zero,9,2015
Counter-Strike: Global Offensive,3429,2014
Counter-Strike: Source,226,2014
Cradle,1,2015
Craft The World,6,2016
Crashlands,4,2016
Crawl,4,2014
Crayon Physics Deluxe,1,2011
Crazy Taxi,4,2015
Crea,1,2016
Creeper World 3: Arc Eternal,3,2014
Cricket Captain 2015,1,2016
Cricket Revolution,1,2013
Crimsonland,1,2016
Crimzon Clover WORLD IGNITION,1,2016
Critical Mass,2,2013
Critter Crunch,1,2014
Croixleur Sigma,1,2015
Cross of the Dutchman,1,2016
CrossCode,5,2016
Crossout,1,2016
Crusader Kings II,56,2013
Crusader Kings II: Mediterranean Portraits,2,2014
Crusaders of the Lost Idols,2,2015
Crush Crush,5,2016
Cry of Fear,108,2015
Crypt of the NecroDancer,18,2014
Crysis,8,2014
Crysis 2 - Maximum Edition,13,2014
Crysis Warhead®,3,2015
Crystal Caves,1,2015
Crystal Story II,2,2015
Cthulhu Saves the World,5,2011
Cubemen,5,2012
Cubemen 2,1,2015
Cubic Castles,3,2014
Cursed Sight,1,2015
Cuties,1,2016
D.I.P.R.I.P. Warm Up,2,2015
D4: Dark Dreams Don’t Die -Season One-,2,2016
DARK SOULS™ II,75,2016
DARK SOULS™ II Crown of the Ivory King,1,2014
DARK SOULS™ II: Scholar of the First Sin,22,2016
DARK SOULS™ III,52,2016
DARK SOULS™: Prepare To Die™ Edition,137,2014
DC Universe™ Online,61,2014
DCS World,9,2016
DCS: P-51D Mustang,1,2014
DEAD OR ALIVE 5 Last Round: Core Fighters,2,2015
DEAD RISING®,2,2016
DEFCON,6,2013
DETOUR,3,2016
DG2: Defense Grid 2,6,2014
DLC Quest,27,2014
DOOM,65,2016
DOOM 3,2,2015
DOOM II,3,2015
DRAGON BALL XENOVERSE,31,2015
DYNASTY WARRIORS 8: Xtreme Legends Complete Edition / 真・三國無双７ with 猛将伝,9,2014
DYNASTY WARRIORS® 8 Empires,1,2015
Damned,10,2016
Danganronpa 2: Goodbye Despair,2,2016
Danganronpa: Trigger Happy Havoc,6,2016
Dark Messiah of Might & Magic,1,2016
Dark Parables: The Exiled Prince Collector's Edition,1,2016
Dark Void™,1,2011
Darkest Dungeon®,32,2015
Darkest Hour: A Hearts of Iron Game,3,2013
Darkest Hour: Europe '44-'45,1,2014
Darksiders II Deathinitive Edition,1,2016
Darksiders™,7,2014
Darkstar One,1,2015
Darkwind: War on Wheels,2,2015
David.,1,2015
Dawn of Discovery™,1,2016
Day One : Garry's Incident,1,2013
Day of Defeat,3,2013
Day of Defeat: Source,30,2013
Day of the Tentacle Remastered,1,2016
DayZ,567,2015
Daylight,2,2014
Dead Bits,13,2014
Dead Effect,3,2015
Dead In Bermuda,1,2015
Dead Island Definitive Edition,1,2016
Dead Pixels,9,2014
Dead Realm,21,2015
Dead Rising 2: Off the Record,4,2015
Dead Rising 3 Apocalypse Edition,13,2014
Dead Rising® 2,4,2014
Dead Sea,1,2015
Dead Sky,1,2013
Dead Space,19,2015
Dead Space™ 2,5,2016
Dead State: Reanimated,3,2014
Dead Synchronicity: Tomorrow Comes Today,1,2015
DeadCore,3,2015
Deadfall Adventures,1,2014
Deadlight,16,2014
Deadly Premonition: The Director's Cut,2,2015
Deadnaut,1,2014
Death Skid Marks,1,2015
Death Stair,1,2016
Death Track®: Resurrection,1,2013
Death Tractor,1,2015
DeathSpank,1,2014
Deathmatch Classic,1,2014
Decay: The Mare,1,2015
Deep Eclipse: New Space Odyssey,1,2015
Deepworld,3,2016
Deer Man,1,2016
Defence Alliance 2,2,2013
Defender's Quest: Valley of the Forgotten (DX edition),3,2014
Defense Grid: The Awakening,3,2015
Defiance,38,2014
Defy Gravity Extended,10,2014
Delta Force 2,1,2015
Delver,5,2014
Dementium II HD,2,2013
Democracy 3,17,2014
Demolition Inc.,3,2014
Demonicon,1,2016
Deponia,2,2014
Depression Quest,13,2014
Depth,55,2015
Depth - Corsair Knife Skin,1,2015
Depth Hunter 2: Deep Dive,1,2016
Desktop Dungeons,3,2013
Despair,3,2015
Destination Sol,1,2015
Destiny Warriors RPG,2,2015
Detective Grimoire,3,2015
Deus Ex: Game of the Year Edition,15,2014
Deus Ex: Human Revolution - Director's Cut,27,2015
Deus Ex: Mankind Divided,14,2016
Deus Ex: Revision,2,2015
Deus Ex: The Fall,3,2014
Dev Guy,7,2015
Devil Daggers,10,2016
Devil May Cry 4,7,2013
Devil May Cry® 3 Special Edition,5,2016
Devil May Cry® 4 Special Edition,2,2016
Devilian,2,2015
DiRT Rally,12,2015
Diabolical,3,2015
Diaries of a Spaceport Janitor,1,2016
Digger Online,1,2015
"Dimmdrive :: Gaming Ramdrive @ 10,000+ MB/s",1,2015
Dinner Date,4,2014
Dino D-Day,60,2013
Dino D-Day: Last Stand DLC,1,2016
Dinosaur Hunt,4,2015
Dirty Bomb®,129,2015
Disciples III - Renaissance Steam Special Edition,1,2015
Dishonored,120,2013
Dishonored - Void Walker Arsenal,2,2015
Dishonored: Dunwall City Trials,1,2013
Disney Princess: My Fairytale Adventure,1,2016
Disney Universe,1,2014
Disney Winnie the Pooh,1,2014
Disney•Pixar Cars,1,2016
Disney•Pixar Cars 2: The Video Game,1,2014
DisplayFusion,1,2015
Divekick,5,2016
Divine Souls F2P MMO,3,2014
Divinity: Dragon Commander,1,2013
Divinity: Original Sin (Classic),17,2014
Divinity: Original Sin - Enhanced Edition,4,2016
DmC: Devil May Cry,17,2013
Dogs of War Online,2,2014
Domestic Dog,1,2015
Dominions 4: Thrones of Ascension,1,2015
Don Bradman Cricket 14,4,2015
"Don't Die Dateless, Dummy!",1,2016
Don't Starve Together,116,2015
Don't Starve: Reign of Giants,4,2014
Don't Starve: Shipwrecked,7,2015
Doom & Destiny,1,2015
Doom 3: BFG Edition,5,2013
Door Kickers,10,2015
Dota 2,1441,2013
Dota 2 Player Profiles,1,2016
Double Action: Boogaloo,51,2016
Double Dragon Trilogy,1,2015
Double Dragon: Neon,4,2014
Downfall,1,2016
Downwell,5,2016
"Dr. Langeskov, The Tiger, and The Terribly Cursed Emerald: A Whirlwind Heist",20,2015
Dragon Age: Origins,4,2010
Dragon Age: Origins - Ultimate Edition,15,2014
Dragon Nest,20,2013
Dragon Saga,3,2015
Dragon's Dogma: Dark Arisen,16,2016
Dragon's Wake,1,2016
Dragons and Titans,7,2014
Draw a Stickman: EPIC,3,2013
Draw a Stickman: EPIC 2,1,2016
DreadOut,1,2015
Dream,2,2014
Dream Of Mirror Online,1,2015
Dreamfall Chapters,4,2016
Drift Streets Japan,11,2016
Drifter,1,2015
Driftmoon,1,2014
Driver® Parallel Lines,1,2013
Dropsy,1,2015
Drunken Robot Pornography,6,2016
DubWars,1,2014
Duck Game,17,2016
DuckTales: Remastered,4,2013
Duelyst,4,2016
Duet,1,2016
Duke Nukem Forever,9,2013
Dungeon Defenders,39,2012
Dungeon Defenders Eternity,4,2014
Dungeon Defenders II,37,2016
Dungeon Fighter Online,1,2016
Dungeon Siege,1,2015
Dungeon Siege II,1,2016
Dungeon Siege III,2,2012
Dungeon Souls,3,2016
Dungeon of the Endless™,13,2015
Dungeon of the Endless™ - Organic Matters Update,1,2016
Dungeon-Party,1,2013
Dungeonland,11,2013
Dungeons & Dragons Online®,5,2013
Dungeons 2,1,2016
Dungeons of Dredmor,7,2011
Dust: An Elysian Tail,40,2014
Dustforce DX,6,2014
Dwarfs - F2P,19,2013
Dwarfs!?,6,2013
Dying Light,81,2016
Dying Light: The Bozak Horde,1,2015
Dying Light: The Following,5,2016
Dynamite Jack,1,2015
Dyscourse,2,2016
Dysfunctional Systems: Learning to Manage Chaos,4,2013
Dystopia,3,2013
E.Y.E: Divine Cybermancy,15,2012
EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,4,2016
EDGE,4,2014
ENSLAVED™: Odyssey to the West™ Premium Edition,6,2015
EPOCH,1,2014
EVE Online,10,2013
EVERSPACE™,1,2016
EVGA Precision XOC,1,2015
Eador. Masters of the Broken World,1,2014
Earth Defense Force: Insect Armageddon,2,2014
Earthworm Jim 3D,1,2011
EasyAntiCheat eSports,3,2015
Echo of Soul,4,2015
Echoes+,6,2015
Edge of Space,5,2014
Edna & Harvey: Harvey's New Eyes,2,2016
Eets Munchies,1,2014
Eldevin,5,2014
Eldritch,3,2014
Electric Highways,2,2015
Electronic Super Joy,16,2015
Electronic Super Joy: Groove City,1,2015
Eleusis,1,2015
Eleven: Table Tennis VR,1,2016
Elisa: The Innkeeper - Prequel,1,2016
Elite Dangerous,27,2015
Elite Dangerous: Pilot Starter Pack,1,2016
Else Heart.Break(),1,2015
Elsword,28,2015
Ember Kaboom,1,2016
Ember Strike,1,2016
Emily Wants To Play,3,2015
Emily is Away,160,2015
Empire: Total War™,36,2013
Empire: Total War™ - Elite Units of the West,1,2015
Empires Mod,2,2015
Empyrion - Galactic Survival,7,2016
Enclave,6,2015
Endless Legend™,20,2015
Endless Legend™ - Guardians,1,2015
Endless Sky,5,2015
Endless Space® - Collection,9,2014
Enforcer: Police Crime Action,4,2014
English Country Tune,2,2012
Enter the Gungeon,5,2016
Eon Altar,1,2016
Epic Battle Fantasy 4,9,2015
Epigenesis,5,2015
Epistory - Typing Chronicles,1,2016
Epsilon,1,2016
Eryi's Action,6,2014
Escape Dead Island,1,2014
Escape Goat,1,2013
Escape Machines,1,2016
Estranged: Act I,29,2014
Eternal Senia,16,2015
Eternal Silence,1,2014
Etherium,2,2015
Euclidean,2,2016
Eufloria HD,1,2014
Euro Fishing,1,2015
Euro Truck Simulator,3,2014
Euro Truck Simulator 2,104,2013
Euro Truck Simulator 2 - Christmas Paint Jobs Pack,1,2014
Euro Truck Simulator 2 - Going East!,1,2016
Euro Truck Simulator 2 - Mighty Griffin Tuning Pack,1,2016
Euro Truck Simulator 2 - Scandinavia,1,2016
Europa Universalis III Complete,2,2011
Europa Universalis IV,51,2014
Europe at War,1,2016
European Ship Simulator,1,2015
EverQuest® II Free-To-Play. Your Way.™,2,2015
Everlasting Summer,16,2014
Everquest ®,1,2016
Everything is Peachy,1,2016
Evil Genius,3,2014
EvilQuest,1,2014
Evochron Mercenary,1,2016
Evoland,11,2016
Evolve Stage 2,77,2016
Executive Assault,5,2015
Expansion - Crusader Kings II: The Reaper's Due,1,2016
Expansion - Crusader Kings II: Way of Life,1,2014
Expansion - Europa Universalis IV: Art of War,1,2014
Expansion - Europa Universalis IV: El Dorado,1,2015
Expansion - Europa Universalis IV: Mare Nostrum,1,2016
Explodemon,1,2014
F.E.A.R.,8,2015
F.E.A.R. 2: Project Origin,1,2012
F.E.A.R. 3,7,2012
F1 2012™,1,2013
F1 2014,4,2015
F1 2015,2,2015
F1 2016,4,2016
FATE,1,2014
FEZ,30,2014
FINAL FANTASY III,2,2015
FINAL FANTASY IV,2,2015
